@relation pacman-data-weka.filters.unsupervised.attribute.Remove-R29-55-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute PacmanPositionX numeric
@attribute PacmanPositionY numeric
@attribute LegalPacManNorth {0,1}
@attribute LegalPacManSouth {0,1}
@attribute LegalPacManWest {0,1}
@attribute LegalPacManEast {0,1}
@attribute Ghost1PositionX numeric
@attribute Ghost1PositionY numeric
@attribute Ghost2PositionX numeric
@attribute Ghost2PositionY numeric
@attribute Ghost3PositionX numeric
@attribute Ghost3PositionY numeric
@attribute Ghost4PositionX numeric
@attribute Ghost4PositionY numeric
@attribute Ghost1Distance numeric
@attribute Ghost2Distance numeric
@attribute Ghost3Distance numeric
@attribute Ghost4Distance numeric
@attribute Score numeric
@attribute DistanceFood numeric
@attribute RemainingFood numeric
@attribute class {North,South,West,East}

@data
14,8,0,1,1,1,5,5,5,4,9,6,-1,-1,12,13,7,-1,145,-1,0,West
9,3,1,0,1,1,5,6,4,3,-1,-1,-1,-1,7,5,-1,-1,335,-1,0,West
19,10,1,1,1,1,5,9,10,5,13,6,26,6,15,14,10,12,-8,-1,0,East
10,8,1,1,1,1,5,10,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,516,-1,0,West
1,5,0,1,1,0,-1,-1,-1,-1,11,5,17,1,-1,-1,10,19,1686,1,15,North
8,8,1,1,0,1,4,9,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,514,-1,0,West
3,14,1,1,1,1,-1,-1,5,12,-1,-1,13,12,-1,4,-1,12,364,-1,0,North
1,4,1,1,1,0,-1,-1,-1,-1,11,5,17,2,-1,-1,11,18,1485,2,15,North
10,3,1,0,1,1,5,5,3,3,-1,-1,-1,-1,7,7,-1,-1,336,-1,0,South
5,7,0,0,1,1,-1,-1,10,6,9,6,15,8,-1,6,5,11,1483,1,82,East
3,5,1,1,1,1,-1,-1,5,7,6,10,4,9,-1,4,8,5,180,-1,0,North
5,5,1,1,1,0,-1,-1,-1,-1,-1,-1,17,5,-1,-1,-1,13,2183,3,14,East
1,4,1,0,0,1,-1,-1,1,5,6,5,17,4,-1,1,6,17,1688,2,15,North
16,6,0,1,1,0,5,9,11,3,-1,-1,-1,-1,14,8,-1,-1,373,-1,0,West
4,1,0,1,1,0,-1,-1,1,5,8,5,-1,-1,-1,7,8,-1,394,1,20,West
10,12,1,1,1,0,-1,-1,8,13,-1,-1,-1,-1,-1,3,-1,-1,549,-1,0,West
5,12,0,1,0,1,-1,-1,-1,-1,-1,-1,13,12,-1,-1,-1,8,554,-1,0,West
2,5,0,0,1,1,-1,-1,-1,-1,10,5,17,3,-1,-1,8,16,1583,6,14,East
